dictionary,{{en-verb|dictionar|ies}}
warsh,{{en-verb|warshes|warshing|warshed}}
double down,{{en-verb|doubles down|doubling down|doubled down}}
double-down,{{en-verb|doubles-down|doubling-down|doubled-down}}
gamemaster,{{en-verb|gamemasters|gamemastering|gamemastered|gamemastered}}
reinaugurate,{{en-verb|reinaugurat}}
coit,{{en-verb}}
coit,{{en-verb}}
toruffle,{{en-verb|toruffles|toruffling|toruffled}}
ruffle up,{{en-verb|ruffles up|ruffling up|ruffled up}}
crapflood,{{en-verb}}
opinionize,{{en-verb|opinioniz}}
outscorn,{{en-verb}}
unassemble,{{en-verb|unassembl}}
umbecast,{{en-verb|umbecasts|umbecasting|umbecast}}
up-regulate,{{en-verb|up-regulat}}
compinge,{{en-verb|compinges|compinging|compinged}}
afterthink,{{en-verb|afterthinks|afterthinking|afterthought}}
tobruise,{{en-verb|tobruises|tobruising|tobruised}}
bruise up,{{en-verb|bruises up|bruising up|bruised up}}
stevvon,{{en-verb}}
foremind,{{en-verb}}
think much of,{{en-verb|thinks much of|thinking much of|thought much of}}
butt dial,{{en-verb}}
volitate,{{en-verb|volitat}}
dry-fire,{{en-verb|head=[[to]] [[dry]][[-]][[fire]]|dry-fires|dry-firing|dry-fired}}
conscribe,{{en-verb|conscrib}}
consecute,{{en-verb|consecut}}
callet,{{en-verb}}
restaple,{{en-verb|restapl}}
wrixle,{{en-verb|wrixles|wrixling|wrixled}}
tostart,{{en-verb|tostarts|tostarting|tostarted}}
tosunder,{{en-verb|tosunders|tosundering|tosundered}}
biofilter,{{en-verb}}
Dolbyize,{{en-verb|Dolbyiz}}
preharden,{{en-verb}}
umbraid,{{en-verb}}
umbedraw,{{en-verb|umbedraws|umbedrawing|umbedrew|umbedrawn}}
hadronize,{{en-verb|hadroniz}}
mediatize,{{en-verb|mediatizes|mediatizing|mediatized|mediatized}}
deturbate,{{en-verb|deturbat}}
retromoderate,{{en-verb|retromoderat}}
explorate,{{en-verb|explorat}}
retromod,{{en-verb|retromodd}}
virialise,{{en-verb|virialis}}
delibrate,{{en-verb|delibrat}}
raim,{{en-verb}}
demigrate,{{en-verb|demigrat}}
demigrate,{{en-verb|demigrat}}
denegate,{{en-verb|denegat}}
growe,{{en-verb|growes|growing|grewe|growne}}
overservice,{{en-verb|overservic}}
mischarge,{{en-verb|mischarg}}
desecate,{{en-verb|desecat}}
desecate,{{en-verb|desecat}}
phone in,{{en-verb|phones in|phoning in|phoned in}}
reem,{{en-verb}}
evulse,{{en-verb|evuls}}
tumble down,{{en-verb|tumbles down|tumbling down|tumbled down}}
speer,{{en-verb}}
outbuy,{{en-verb|outbuys|outbuying|outbought}}
buy into,{{en-verb|buys into|buying into|bought into}}
buy up,{{en-verb|buys up|buying up|bought up}}
dijudicate,{{en-verb|dijudicat}}
pejorate,{{en-verb|pejorat}}
facetime,{{en-verb|facetim}}
umbeset,{{en-verb|umbesets|umbesetting|umbeset|umbeset|past_ptc2=umbesetten}}
blowe,{{en-verb|blow}}
regraze,{{en-verb|regraz}}
regrease,{{en-verb|regreas}}
relubricate,{{en-verb|relubricat}}
blote,{{en-verb|blotes|bloting|bloted}}
declare war,{{en-verb|declares war|declaring war|declared war}}
pussywhip,{{en-verb|pussywhips|pussywhipping|pussywhipped}}
pussy-whip,{{en-verb|head=[[to]] [[pussy]][[-]][[whip]]|pussy-whips|pussy-whipping|pussy-whipped}}
pussy whip,{{en-verb|head=[[to]] [[pussy]] [[whip]]|pussy whips|pussy whipping|pussy whipped}}
degut,{{en-verb|degutt}}
flagitate,{{en-verb|flagitat}}
rebin,{{en-verb|rebins|rebinning|rebinned}}
costen,{{en-verb}}
zerg,{{en-verb}}
provant,{{en-verb}}
restem,{{en-verb|restems|restemming|restemmed}}
immanentize,{{en-verb|immanentiz}}
immanentise,{{en-verb|immanentis}}
fidge,{{en-verb|fidges|fidging|fidged}}
daddle,{{en-verb|daddles|daddling|daddled}}
shake out,{{en-verb|shakes out|shaking out|shook out|shaken out}}
diddle-daddle,{{en-verb|diddle-daddles|diddle-daddling|diddle-daddled}}
unkill,{{en-verb}}
concinnate,{{en-verb|concinnat}}
untreasure,{{en-verb|untreasures|untreasuring|untreasured}}
intreasure,{{en-verb|intreasur}}
microcard,{{en-verb}}
protocolize,{{en-verb|protocoliz}}
unzipper,{{en-verb}}
damasken,{{en-verb}}
overpunch,{{en-verb|es}}
cratch,{{en-verb|es}}
forethink,{{en-verb|forethinks|forethinking|forethought}}
flate,{{en-verb|flat}}
overmast,{{en-verb}}
vidcast,{{en-verb|vidcasts|vidcasting|vidcast|past2=vidcasted|vidcast|past_ptc2=vidcasted}}
umbego,{{en-verb|umbegoes|umbegoing|umbewent|umbegone}}
photodissociate,{{en-verb|photodissociat}}
onfang,{{en-verb}}
nurl,{{en-verb}}
suds up,{{en-verb|sudses up|sudsing up|sudsed up}}
lather up,{{en-verb|lathers up|lathering up|lathered up}}
undercome,{{en-verb|undercomes|undercoming|undercame|undercome}}
break with,{{en-verb|breaks with|breaking with|broke with|broken with}}
mutine,{{en-verb|mutines|mutining|mutined}}
shellack,{{en-verb}}
browze,{{en-verb|browz}}
budge up,{{en-verb|budges up|budging up|budged up}}
botch up,{{en-verb|botches up|botching up|botched up}}
bulk out,{{en-verb|bulks out|bulking out|bulked out}}
book up,{{en-verb|books up|booking up|booked up}}
stotter,{{en-verb}}
pad down,{{en-verb|pads down|padding down|padded down}}
lash down,{{en-verb|lashes down|lashing down|lashed down}}
pour down,{{en-verb|pours down|pouring down|poured down}}
pelt down,{{en-verb|pelts down|pelting down|pelted down}}
whip down,{{en-verb|whips down|whipping down|whipped down}}
hack off,{{en-verb|hacks off|hacking off|hacked off}}
hush down,{{en-verb|hushes down|hushing down|hushed down}}
outstrategize,{{en-verb|outstrategiz}}
empty out,{{en-verb|empties out|emptying out|emptied out}}
peck out,{{en-verb|pecks out|pecking out|pecked out}}
playe,{{en-verb|play}}
snopes,{{en-verb|snopeses|snopesing|snopesed}}
Snopes,{{en-verb|Snopeses|Snopesing|Snopesed}}
forban,{{en-verb|forbans|forbanning|forbanned}}
overembellish,{{en-verb|es}}
toswap,{{en-verb|toswapp}}
toswink,{{en-verb|toswinks|toswinking|toswank|toswunk|past_ptc2=toswunken}}
totear,{{en-verb|totears|totearing|totore|totorn}}
totorve,{{en-verb|totorv}}
totread,{{en-verb|totreads|totreading|totrod|totrodden}}
towind,{{en-verb|towinds|towinding|towound}}
forgrow,{{en-verb|forgrows|forgrowing|forgrew|forgrown}}
forhale,{{en-verb|forhal}}
forhele,{{en-verb|forheles|forheling|forhole|forholen}}
preroll,{{en-verb}}
deligate,{{en-verb|deligat}}
scent out,{{en-verb|scents out|scenting out|scented out}}
come over,{{en-verb|comes over|coming over|came over|come over}}
keep house,{{en-verb|keeps house|keeping house|kept house}}
melt away,{{en-verb|melts away|melting away|melted away}}
do off,{{en-verb|does off|doing off|did off|done off}}
yard-sale,{{en-verb|yard-sal}}
have had it,{{en-verb|head=[[to]] [[have]] [[had]] [[it]]|has had it|having had it|had had it}}
have it,{{en-verb|has it|having it|had it}}
duck out,{{en-verb|head=[[to]] [[duck]] [[out]]|ducks out|ducking out|ducked out}}
unshut,{{en-verb|unshuts|unshutting|unshut}}
properate,{{en-verb|properat}}
make faces,{{en-verb|makes faces|making faces|made faces}}
keep pace,{{en-verb|keeps pace|keeping pace|kept pace}}
unhill,{{en-verb}}
subminister,{{en-verb}}
redintegrate,{{en-verb|redintegrates|redintegrating|redintegrated}}
rein up,{{en-verb|reins up|reining up|reined up}}
crowd up,{{en-verb|crowds up|crowding up|crowded up}}
uncock,{{en-verb}}
repugnate,{{en-verb|repugnat}}
verberate,{{en-verb|verberat}}
vestigate,{{en-verb|vestigat}}
draw away,{{en-verb|draws away|drawing away|drew away|drawn away}}
send forth,{{en-verb|sends forth|sending forth|sent forth}}
upcome,{{en-verb|upcomes|upcoming|upcame|upcome}}
subministrate,{{en-verb|subministrat}}
subsecute,{{en-verb|subsecut}}
sustentate,{{en-verb|sustentat}}
geg,{{en-verb|gegg}}
power walk,{{en-verb}}
power-walk,{{en-verb|head=[[power]]-[[walk]]}}
mispaint,{{en-verb}}
newgroup,{{en-verb}}
forthbear,{{en-verb|forthbears|forthbearing|forthbore|forthborn}}
forthbring,{{en-verb|forthbrings|forthbringing|forthbrought}}
forthclepe,{{en-verb|forthclepes|forthcleping|forthclept|past2=forthcleped}}
forthcome,{{en-verb|forthcomes|forthcoming|forthcame|forthcome}}
forthcut,{{en-verb|forthcuts|forthcutting|forthcut}}
forthdraw,{{en-verb|forthdraws|forthdrawing|forthdrew|forthdrawn}}
forthfare,{{en-verb|forthfares|forthfaring|forthfared}}
forthfet,{{en-verb|forthfets|forthfetting|forthfet}}
beclip,{{en-verb|beclipp}}
beclip,{{en-verb|beclipp}}
multipost,{{en-verb}}
unbrick,{{en-verb}}
come into being,{{en-verb|comes into being|coming into being|came into being}}
bridle up,{{en-verb|bridles up|bridling up|bridled up}}
forthglide,{{en-verb|forthglides|forthgliding|forthglided}}
forthgo,{{en-verb|forthgoes|forthgoing|forthwent|forthgone}}
forthirst,{{en-verb}}
forthlead,{{en-verb|forthleads|forthleading|forthled}}
forthleap,{{en-verb|forthleaps|forthleaping|forthleapt|past2=forthleaped}}
forthlook,{{en-verb}}
forthnim,{{en-verb|forthnims|forthnimming|forthnam|past2=forthnimmed|forthnum|past_ptc2=forthnumb|past_ptc3=forthnimmed}}
neologise,{{en-verb|neologis}}
nosegrind,{{en-verb}}
besee,{{en-verb|besees|beseeing|besaw|beseen}}
dealbate,{{en-verb|dealbat}}
hang tough,{{en-verb|hangs tough|hanging tough|hung tough|past2=hanged tough}}
eructate,{{en-verb|eructat}}
excide,{{en-verb|excid}}
onforward,{{en-verb}}
increpate,{{en-verb|increpat}}
inhabitate,{{en-verb|inhabitat}}
beskirt,{{en-verb}}
behat,{{en-verb|behatt}}
begown,{{en-verb}}
bebleed,{{en-verb|bebleeds|bebleeding|bebled}}
beblind,{{en-verb}}
beblister,{{en-verb}}
bebloody,{{en-verb|beblood|ies}}
becall,{{en-verb}}
becarve,{{en-verb|becarves|becarving|becorve|past2=becarved|becorven|past_ptc2=becarved}}
becharm,{{en-verb}}
becover,{{en-verb}}
becripple,{{en-verb|becrippl}}
becurl,{{en-verb}}
bedamn,{{en-verb}}
bedangle,{{en-verb|bedangl}}
check-call,{{en-verb|head=[[check]][[-]][[call]]}}
bedeafen,{{en-verb}}
bedip,{{en-verb|bedipp}}
bedirty,{{en-verb|bedirt|ies}}
eat one's seed corn,{{en-verb|head=[[eat]] (one's) [[seed]] [[corn]]|eats his seed corn|eating his seed corn|ate his seed corn|eaten his seed corn}}
eat the seed corn,{{en-verb|eats the seed corn|eating the seed corn|ate the seed corn|eaten the seed corn}}
forthpass,{{en-verb|es}}
forthshow,{{en-verb|forthshows|forthshowing|forthshowed|forthshown|past_ptc2=forthshowed}}
revelate,{{en-verb|revelat}}
rutilate,{{en-verb|rutilat}}
superseminate,{{en-verb|superseminat}}
heaf,{{en-verb}}
reigle,{{en-verb|reigl}}
build upon,{{en-verb|builds upon|building upon|built upon}}
build on,{{en-verb|builds on|building on|built on}}
build into,{{en-verb|builds into|building into|built into}}
build in,{{en-verb|builds in|building in|built in}}
build a fire under,{{en-verb|builds a fire under|building a fire under|built a fire under}}
prebuild,{{en-verb|prebuilds|prebuilding|prebuilt}}
befile,{{en-verb|befil}}
beflea,{{en-verb|beflea}}
inwork,{{en-verb|inworks|inworking|inwrought|past2=inworked}}
inwone,{{en-verb|inwon}}
inwheel,{{en-verb}}
enwheel,{{en-verb}}
inwrap,{{en-verb|inwrapp}}
repitch,{{en-verb|repitches|repitching|repitched}}
deoptimize,{{en-verb|deoptimiz}}
rematerialize,{{en-verb|rematerializ}}
rerandomize,{{en-verb|rerandomiz}}
disenroll,{{en-verb}}
disenrol,{{en-verb|disenrols|disenrolling|disenrolled}}
refect,{{en-verb}}
infract,{{en-verb}}
survene,{{en-verb}}
jog on,{{en-verb|jogs on|jogging on|jogged on}}
have a laugh,{{en-verb|has a laugh|having a laugh|had a laugh}}
siccate,{{en-verb|siccat}}
reguard,{{en-verb}}
disject,{{en-verb}}
transume,{{en-verb|transum}}
intervert,{{en-verb}}
lay over,{{en-verb|lays over|laying over|laid over}}
hidate,{{en-verb|hidat}}
hye,{{en-verb|hy|pres_ptc2=hyeing}}
bioneer,{{en-verb}}
downface,{{en-verb|downfac}}
conquassate,{{en-verb|conquassat}}
filmize,{{en-verb|filmiz}}
rewax,{{en-verb|rewaxes|rewaxing|rewaxed}}
enzone,{{en-verb|enzon}}
enavigate,{{en-verb|enavigat}}
reheal,{{en-verb}}
fenerate,{{en-verb|fenerat}}
outlaugh,{{en-verb}}
repivot,{{en-verb}}
augle,{{en-verb|augl}}
pernoctate,{{en-verb|pernoctates|pernoctating|pernoctated}}
deschool,{{en-verb}}
wheel away,{{en-verb|wheels away|wheeling away|wheeled away}}
jedge,{{en-verb|jedg}}
part company,{{en-verb|parts company|parting company|parted company}}
transmeate,{{en-verb|transmeat}}
debarrass,{{en-verb|debarrasses|debarrassing|debarrassed|debarrassed}}
glassify,{{en-verb|glassifies|glassifying|glassified|glassified}}
exsuscitate,{{en-verb|exsuscitat}}
thoriate,{{en-verb|thoriates|thoriating|thoriated}}
fatigate,{{en-verb|fatigat}}
perspirate,{{en-verb|perspirates|perspirating|perspirated}}
bastinade,{{en-verb|bastinad}}
youthen,{{en-verb}}
enwrite,{{en-verb|enwrites|enwriting|enwrote|enwritten}}
rechange,{{en-verb|rechang}}
betwattle,{{en-verb|betwattl}}
inwrite,{{en-verb|inwrites|inwriting|inwrote|inwritten}}
ingrow,{{en-verb|ingrows|ingowing|ingrew|ingrown}}
put into effect,{{en-verb|puts into effect|putting into effect|put into effect}}
toss around,{{en-verb|tosses around|tossing around|tossed around|tossed around}}
rufie,{{en-verb|rufi}}
froust,{{en-verb}}
reverse-commute,{{en-verb|head=[[reverse]]-[[commute]]|reverse-commut}}
wrong-foot,{{en-verb}}
deliber,{{en-verb}}
sell on,{{en-verb|sells on|selling on|sold on}}
yesk,{{en-verb}}
yete,{{en-verb|yet}}
embrine,{{en-verb|embrin}}
unrate,{{en-verb|unrat}}
insume,{{en-verb|insum}}
glam up,{{en-verb|glams up|glamming up|glammed up}}
delapse,{{en-verb|delaps}}
pair up,{{en-verb|pairs up|pairing up|paired up}}
connect the dots,{{en-verb|head=[[connect]] the [[dots]]|connects the dots|connecting the dots|connected the dots}}
quetch,{{en-verb|es}}
antisepticize,{{en-verb|antisepticiz}}
solidate,{{en-verb|solidat}}
subinfer,{{en-verb|subinferr}}
despumate,{{en-verb|despumat}}
bepearl,{{en-verb}}
bepat,{{en-verb|bepatt}}
benote,{{en-verb|benot}}
declimb,{{en-verb}}
part with,{{en-verb|parts with|parting with|parted with}}
fordrive,{{en-verb|fordrives|fordriving|fordrove|fordriven}}
fordread,{{en-verb}}
evomit,{{en-verb}}
fall from grace,{{en-verb|falls from grace|falling from grace|fell from grace|fallen from grace}}
back-track,{{en-verb}}
tip over,{{en-verb|tips over|tipping over|tipped over}}
tee up,{{en-verb|tees up|teeing up|teed up}}
tape out,{{en-verb|tapes out|taping out|taped out|taped out}}
put to bed,{{en-verb|puts to bed|putting to bed|put to bed}}
muddle through,{{en-verb|muddles through|muddling through|muddled through}}
cast out,{{en-verb|casts out|casting out|cast out}}
undraw,{{en-verb|undraws|undrawing|undrew|undrawn}}
fordry,{{en-verb|fordries|fordrying|fordried}}
die in the ass,{{en-verb|dies in the ass|dying in the ass|died in the ass}}
die in the arse,{{en-verb|dies in the arse|dying in the arse|died in the arse}}
resubject,{{en-verb}}
return to form,{{en-verb|returns to form|returning to form|returned to form}}
freeze out,{{en-verb|freezes out|freezing out|froze out|frozen out}}
admynistre,{{en-verb|admynistr}}
subverse,{{en-verb|subvers}}
go to shit,{{en-verb|goes to shit|going to shit|went to shit|gone to shit}}
concomitate,{{en-verb|concomitates|concomitating|concomitated}}
wrap one's head around,{{en-verb|wraps one's head around|wrapping one's head around|wrapped one's head around|head=[[wrap]] (one's) [[head]] [[around]]}}
laetificate,{{en-verb|laetificat}}
preferr,{{en-verb}}
popple,{{en-verb|poppl}}
unstar,{{en-verb|unstarr}}
fordull,{{en-verb}}
fordwine,{{en-verb|fordwin}}
cross-multiply,{{en-verb|cross-multipl|ies}}
screenwash,{{en-verb|es}}
antisepticise,{{en-verb|antisepticis}}
toe-poke,{{en-verb|toe-pok}}
back-heel,{{en-verb}}
poetize,{{en-verb|poetiz}}
hullaballoo,{{en-verb|pres_ptc2=hullaballoing|past2=hullaballoed}}
outfish,{{en-verb|es}}
wanse,{{en-verb|wans}}
wanze,{{en-verb|wanz}}
bedrop,{{en-verb|bedropp}}
winterproof,{{en-verb}}
gangrape,{{en-verb|gangrap}}
rerape,{{en-verb|rerap}}
assrape,{{en-verb|assrap}}
butt-rape,{{en-verb|butt-rap}}
unchoke,{{en-verb|unchok}}
offbear,{{en-verb|offbears|offbearing|offbore|offborne}}
off-bear,{{en-verb|off-bears|off-bearing|off-bore|off-borne}}
offcap,{{en-verb|offcapp}}
offcast,{{en-verb|offcasts|offcasting|offcast}}
offsaddle,{{en-verb|offsaddl}}
dry-hump,{{en-verb}}
offsmite,{{en-verb|offsmites|offsmiting|offsmote|offsmitten}}
peg back,{{en-verb|pegs back|pegging back|pegged back}}
overtask,{{en-verb}}
rototill,{{en-verb}}
hurry-skurry,{{en-verb|hurry-skurr|ies}}
push on,{{en-verb|pushes on|pushing on|pushed on}}
lay it on thick,{{en-verb|head=[[to]] [[lay]] [[it]] [[on]] [[thick]]|lays it on thick|laying it on thick|laid it on thick}}
lachrymate,{{en-verb|lachrymates|lachrymating|lachrymated}}
dehook,{{en-verb}}
robotise,{{en-verb|robotis}}
depoliticalize,{{en-verb|depoliticaliz}}
dehistoricize,{{en-verb|dehistoriciz}}
term-limit,{{en-verb|head=[[term]]-[[limit]]}}
reinduce,{{en-verb|reinduc}}
imbrew,{{en-verb}}
after-eye,{{en-verb|after-ey}}
downpress,{{en-verb|downpresses|downpressing|downpressed}}
forewit,{{en-verb|forewot|forewitting|forewist}}
forfare,{{en-verb|forfares|forfaring|forfared|past2=forfore|forfared|past_ptc2=forfaren}}
rake together,{{en-verb|rakes together|raking together|raked together}}
rat on,{{en-verb|rats on|ratting on|ratted on}}
praunce,{{en-verb|praunc}}
schvitz,{{en-verb|schvitzes|schvitzing|schvitzed}}
foreweigh,{{en-verb}}
foreweep,{{en-verb|foreweeps|foreweeping|forewept}}
forirk,{{en-verb}}
forwaste,{{en-verb|forwast}}
forewaste,{{en-verb|forwast}}
hold serve,{{en-verb|holds serve|holding serve|held serve}}
forwelk,{{en-verb}}
forwither,{{en-verb}}
forwound,{{en-verb}}
forwrap,{{en-verb|forwrapp}}
clickjack,{{en-verb}}
forwean,{{en-verb}}
forweary,{{en-verb|forwearies|forwearying|forwearied}}
forestate,{{en-verb|forestat|ing}}
forwander,{{en-verb}}
forwalk,{{en-verb}}
forwake,{{en-verb|forwak}}
conjure up,{{en-verb|conjures up|conjured up|conjuring up}}
geck,{{en-verb}}
fortread,{{en-verb|fortreads|fortreading|fortrod|fortrodden}}
fortravel,{{en-verb}}
forswink,{{en-verb|forswinks|forswinking|forswank|past2=forswonk|past3=forswonck|forswunken|past_ptc2=forswunk|past_ptc3=forswonk|past_ptc4=forswonck}}
forswelt,{{en-verb}}
forswing,{{en-verb|forswings|forswinging|forswang|past2=forswung|forswungen|past_ptc2=forswung}}
fortax,{{en-verb|es}}
fortatter,{{en-verb}}
forswallow,{{en-verb}}
straught,{{en-verb}}
dox,{{en-verb|doxes|doxing|doxed}}
lay hold of,{{en-verb|lays hold of|laying hold of|laid hold of}}
besoul,{{en-verb}}
bepuff,{{en-verb}}
fist pump,{{en-verb}}
fist-pump,{{en-verb}}
behell,{{en-verb}}
behew,{{en-verb|behews|behewing|behewed|behewn}}
behate,{{en-verb|behat}}
behappen,{{en-verb}}
behap,{{en-verb|behapp}}
beguilty,{{en-verb|beguilties|beguiltying|beguiltied}}
begunk,{{en-verb}}
begink,{{en-verb}}
debeard,{{en-verb}}
repeddle,{{en-verb|repeddl}}
underearn,{{en-verb}}
bemete,{{en-verb|bemet}}
bemingle,{{en-verb|bemingl}}
bemaze,{{en-verb|bemaz}}
bemad,{{en-verb|bemadd}}
bemask,{{en-verb}}
beme,{{en-verb|bem}}
rechoose,{{en-verb|rechooses|rechoosing|rechose|rechosen}}
dedecorate,{{en-verb|dedecorat}}
dehonestate,{{en-verb|dehonestat}}
platten,{{en-verb}}
benighten,{{en-verb}}
glassen,{{en-verb|glass|ing}}
tick down,{{en-verb|ticks down|ticking down|ticked down}}
benegro,{{en-verb|benegroes|benegroing|benegroed}}
bemist,{{en-verb}}
bemourn,{{en-verb}}
striddle,{{en-verb|striddl}}
etherise,{{en-verb|etheris}}
sociate,{{en-verb|sociat}}
self-pleasure,{{en-verb|self-pleasur}}
hearken back,{{en-verb|hearkens back|hearkening back|hearkened back}}
harken back,{{en-verb|harkens back|harkening back|harkened back}}
renest,{{en-verb}}
overwhip,{{en-verb|overwhips|overwhipping|overwhipped}}
slowball,{{en-verb}}
pieface,{{en-verb|piefac}}
reamplify,{{en-verb|reamplif|ies}}
compesce,{{en-verb|compesc}}
draw level,{{en-verb|draws level|drawing level|drew level|drawn level}}
smartmouth,{{en-verb}}
walk over,{{en-verb|walks over|walking over|walked over}}
walk off,{{en-verb|walks off|walking off|walked off}}
fit up,{{en-verb|fits up|fitting up|fitted up}}
cling on,{{en-verb|clings on|clinging on|clung on}}
vaginate,{{en-verb|vaginat|es}}
unbelt,{{en-verb}}
unitise,{{en-verb|unitis}}
unrip,{{en-verb|unripp}}
unsnag,{{en-verb|unsnagg}}
outburp,{{en-verb}}
outfart,{{en-verb}}
outpiss,{{en-verb|outpisses|outpissing|outpissed}}
make something of oneself,{{en-verb|makes something of oneself|making something of oneself|made something of oneself}}
unteach,{{en-verb|unteaches|unteaching|untaught}}
publicate,{{en-verb|publicat}}
noseprint,{{en-verb}}
note down,{{en-verb|notes down|noting down|noted down}}
twattle,{{en-verb|twattl}}
twattle,{{en-verb|twattl}}
vacuate,{{en-verb|vacuat}}
spraddle,{{en-verb|spraddl}}
roar on,{{en-verb|roars on|roaring on|roared on}}
exscribe,{{en-verb|exscrib}}
interscribe,{{en-verb|interscrib}}
body-check,{{en-verb}}
tick away,{{en-verb|ticks away|ticking away|ticked away}}
come of,{{en-verb|comes of|coming of|came of|come of}}
earth up,{{en-verb|earths up|earthing up|earthed up}}
chate,{{en-verb|chat}}
field dress,{{en-verb|es}}
frack,{{en-verb|fracks|fracking|fracked}}
frack,{{en-verb|fracks|fracking|fracked}}
slide-tackle,{{en-verb|head=[[slide]]-[[tackle]]|slide-tackl}}
grind down,{{en-verb|grinds down|grinding down|ground down}}
retrude,{{en-verb|retrud}}
split off,{{en-verb|splits off|splitting off|split off}}
transverberate,{{en-verb|transverberat}}
ungarble,{{en-verb|ungarbl}}
turn back the clock,{{en-verb|turns back the clock|turning back the clock|turned back the clock}}
reseize,{{en-verb|reseiz}}
adure,{{en-verb|adur}}
resum,{{en-verb|resums|resumming|resummed}}
dropship,{{en-verb|dropshipp}}
inearth,{{en-verb}}
inleague,{{en-verb|inleagu}}
enleague,{{en-verb|enleagu}}
louk,{{en-verb}}
louk,{{en-verb}}
loun,{{en-verb}}
sin-bin,{{en-verb|sin-binn}}
skiboard,{{en-verb}}
bedrench,{{en-verb|es}}
beslime,{{en-verb|beslim}}
besmile,{{en-verb|besmil}}
bekiss,{{en-verb|bekiss|es}}
bediaper,{{en-verb}}
berain,{{en-verb}}
bewrap,{{en-verb|bewrapp}}
beflower,{{en-verb}}
befeather,{{en-verb}}
beshame,{{en-verb|besham}}
beshout,{{en-verb}}
bewig,{{en-verb|bewigg}}
recalcitrate,{{en-verb|recalcitrat}}
relevate,{{en-verb|relevates|relevating|relevated}}
foredestine,{{en-verb|foredestin}}
snap one's fingers,{{en-verb|snaps one's fingers|snapping one's fingers|snapped one's fingers}}
unseven,{{en-verb}}
lithotype,{{en-verb|lithotyp}}
unrecommend,{{en-verb}}
disrecommend,{{en-verb}}
bewield,{{en-verb}}
bework,{{en-verb|beworks|beworking|bewrought|past2=beworked}}
underbook,{{en-verb}}
exuberate,{{en-verb|exuberat}}
bewhore,{{en-verb|bewhor}}
bewhisper,{{en-verb}}
bewimple,{{en-verb|bewimpl}}
bewinter,{{en-verb}}
bewreak,{{en-verb}}
boatlift,{{en-verb}}
well up,{{en-verb|wells up|welling up|welled up}}
slip down,{{en-verb|slips down|slipping down|slipped down}}
slip in,{{en-verb|slips in|slpping in|slipped in}}
slip into,{{en-verb|slips into|slipping into|slipped into}}
rake off,{{en-verb|rakes off|raking off|raked off}}
cast up,{{en-verb|casts up|casting up|cast up}}
pass round,{{en-verb|passes round|passing round|passed round}}
brace up,{{en-verb|braces up|bracing up|braced up}}
hide away,{{en-verb|hides away|hiding away|hid away|hidden away}}
hide out,{{en-verb|hides out|hiding out|hid out|hidden out}}
show round,{{en-verb|shows round|showing round|showed round|shown round}}
bewreck,{{en-verb|bewrecks|bewrecking|bewrecked|past2=bewreckt}}
bewash,{{en-verb|bewashes|bewashing|bewashed}}
color coordinate,{{en-verb|color coordinat}}
refurl,{{en-verb}}
retime,{{en-verb|retim}}
deindex,{{en-verb|deindexes|deindexing|deindexed}}
laicise,{{en-verb|laicises|laicising|laicised}}
illaqueate,{{en-verb|illaqueat}}
whip off,{{en-verb|whips off|whipping off|whipped off}}
whip in,{{en-verb|whips in|whipping in|whipped in}}
wheech,{{en-verb}}
lace up,{{en-verb|laces up|lacing up|laced up}}
outact,{{en-verb}}
send on,{{en-verb|sends on|sending on|sent on}}
tool up,{{en-verb|tools up|tooling up|tooled up}}
staff up,{{en-verb|staffs up|staffing up|staffed up}}
stack up,{{en-verb|stacks up|stacking up|stacked up}}
squeeze up,{{en-verb|squeezes up|squeezing up|squeeze up}}
spew up,{{en-verb|spews up|spewing up|spewed up}}
spark up,{{en-verb|sparks up|sparking up|sparked up}}
snarl up,{{en-verb|snarls up|snarling up|snarled up}}
muddle up,{{en-verb|muddles up|muddling up|muddled up}}
snaffle up,{{en-verb|snaffles up|snaffling up|snaffled up}}
sing up,{{en-verb|sings up|singing up|sang up|sung up}}
settle up,{{en-verb|settles up|settling up|settled up}}
scrape up,{{en-verb|scrapes up|scraping up|scraped up}}
ride up,{{en-verb|rides up|riding up|rode up|ridden up}}
psych up,{{en-verb|psyches up|psyching up|psyched up}}
ratchet up,{{en-verb|ratchets up|ratcheting up|ratcheted up}}
move up,{{en-verb|moves up|moving up|moved up}}
mount up,{{en-verb|mounts up|mounting up|mounted up}}
come together,{{en-verb|comes together|coming together|came together}}
perceptualize,{{en-verb|perceptualiz}}
columnize,{{en-verb|columniz}}
unpurse,{{en-verb|unpurs}}
unstep,{{en-verb|unstepp}}
feel ten feet tall,{{en-verb|feels ten feet tall|feeling ten feet tall|felt ten feet tall}}
calcitrate,{{en-verb|calcitrat}}
heap up,{{en-verb|heaps up|heaping up|heaped up}}
lick up,{{en-verb|licks up|licking up|licked up}}
outlick,{{en-verb}}
belick,{{en-verb}}
uncrunch,{{en-verb|es}}
tutoy,{{en-verb}}
complanate,{{en-verb|complanat}}
fratch,{{en-verb|fratches|fratching|fratched}}
buck the trend,{{en-verb|bucks the trend|bucking the trend|bucked the trend}}
beath,{{en-verb}}
outhold,{{en-verb|outholds|outholding|outheld|outheld|past_ptc2=outholden|past_ptc2_qual=obsolete}}
mensk,{{en-verb}}
outdwell,{{en-verb|outdwells|outdwelling|outdwelt|past2=outdwelled}}
